rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
87.0,Jordan,JOR,17.0,8.0,-23,AFC,1993-08-08
86.0,Sierra Leone,SLE,18.0,16.0,7,CAF,1993-08-08
85.0,Trinidad and Tobago,TRI,18.0,24.0,23,CONCACAF,1993-08-08
84.0,Lithuania,LTU,19.0,12.0,-9,UEFA,1993-08-08
83.0,Jamaica,JAM,19.0,22.0,16,CONCACAF,1993-08-08
82.0,Malta,MLT,19.0,19.0,9,UEFA,1993-08-08
81.0,Madagascar,MAD,21.0,18.0,7,CAF,1993-08-08
80.0,New Zealand,NZL,21.0,22.0,10,OFC,1993-08-08
79.0,Bahrain,BHR,21.0,13.0,-9,AFC,1993-08-08
78.0,Syria,SYR,21.0,11.0,-18,AFC,1993-08-08
89.0,Latvia,LVA,17.0,10.0,-10,UEFA,1993-08-08
106.0,Myanmar,MYA,11.0,0.0,-46,AFC,1993-08-08
76.0,Bermuda,BER,22.0,25.0,18,CONCACAF,1993-08-08
108.0,Lebanon,LBN,11.0,0.0,-53,AFC,1993-08-08
137.0,Tahiti,TAH,4.0,5.0,14,OFC,1993-08-08
138.0,Grenada,GRN,4.0,5.0,17,CONCACAF,1993-08-08
139.0,Haiti,HAI,3.0,4.0,9,CONCACAF,1993-08-08
140.0,Libya,LBY,2.0,2.0,3,CAF,1993-08-08
141.0,Laos,LAO,2.0,0.0,141,AFC,1993-08-08
142.0,Mauritania,MTN,2.0,3.0,8,CAF,1993-08-08
143.0,Cabo Verde,CPV,2.0,3.0,8,CAF,1993-08-08
144.0,Solomon Islands,SOL,2.0,2.0,8,OFC,1993-08-08
145.0,Brunei Darussalam,BRU,2.0,2.0,5,AFC,1993-08-08
146.0,Lesotho,LES,2.0,2.0,4,CAF,1993-08-08
149.0,Pakistan,PAK,1.0,1.0,4,AFC,1993-08-08
150.0,Nicaragua,NCA,1.0,0.0,-4,CONCACAF,1993-08-08
151.0,Cuba,CUB,1.0,1.0,7,CONCACAF,1993-08-08
152.0,Seychelles,SEY,1.0,1.0,5,CAF,1993-08-08
153.0,Central African Republic,CTA,1.0,1.0,5,CAF,1993-08-08
154.0,The Gambia,GAM,1.0,1.0,4,CAF,1993-08-08
155.0,Namibia,NAM,0.0,0.0,-3,CAF,1993-08-08
156.0,Cayman Islands,CAY,0.0,0.0,156,CONCACAF,1993-08-08
157.0,Nepal,NEP,0.0,1.0,8,AFC,1993-08-08
158.0,Liechtenstein,LIE,0.0,0.0,5,UEFA,1993-08-08
159.0,Equatorial Guinea,EQG,0.0,0.0,8,CAF,1993-08-08
160.0,Chinese Taipei,TPE,0.0,0.0,4,AFC,1993-08-08
107.0,Congo,CGO,11.0,13.0,17,CAF,1993-08-08
136.0,St Lucia,LCA,4.0,6.0,18,CONCACAF,1993-08-08
135.0,Botswana,BOT,5.0,2.0,-4,CAF,1993-08-08
148.0,Dominican Republic,DOM,2.0,2.0,7,CONCACAF,1993-08-08
116.0,Fiji,FIJ,9.0,9.0,10,OFC,1993-08-08
109.0,South Africa,RSA,11.0,5.0,-15,CAF,1993-08-08
134.0,Guyana,GUY,5.0,4.0,6,CONCACAF,1993-08-08
110.0,Luxembourg,LUX,11.0,10.0,7,UEFA,1993-08-08
111.0,Faroe Islands,FRO,11.0,12.0,17,UEFA,1993-08-08
112.0,Guatemala,GUA,10.0,15.0,29,CONCACAF,1993-08-08
113.0,Burkina Faso,BFA,10.0,11.0,16,CAF,1993-08-08
114.0,Togo,TOG,10.0,10.0,13,CAF,1993-08-08
115.0,Suriname,SUR,9.0,12.0,20,CONCACAF,1993-08-08
117.0,Croatia,CRO,9.0,7.0,4,UEFA,1993-08-08
118.0,Estonia,EST,8.0,3.0,-14,UEFA,1993-08-08
119.0,San Marino,SMR,8.0,4.0,-7,UEFA,1993-08-08
121.0,St Vincent and the Grenadines,VIN,8.0,9.0,16,CONCACAF,1993-08-08
120.0,Bangladesh,BAN,8.0,3.0,-13,AFC,1993-08-08
123.0,Mauritius,MRI,8.0,7.0,11,CAF,1993-08-08
124.0,Benin,BEN,7.0,4.0,-3,CAF,1993-08-08
125.0,Panama,PAN,7.0,5.0,5,CONCACAF,1993-08-08
126.0,Sudan,SDN,7.0,7.0,15,CAF,1993-08-08
127.0,Antigua and Barbuda,ATG,7.0,8.0,18,CONCACAF,1993-08-08
128.0,Slovenia,SVN,6.0,3.0,-3,UEFA,1993-08-08
129.0,India,IND,6.0,2.0,-14,AFC,1993-08-08
130.0,Belarus,BLR,5.0,1.0,-16,UEFA,1993-08-08
131.0,Ukraine,UKR,5.0,4.0,2,UEFA,1993-08-08
132.0,Vietnam,VIE,5.0,0.0,132,AFC,1993-08-08
133.0,Guinea-Bissau,GNB,5.0,6.0,16,CAF,1993-08-08
37.0,Bulgaria,BUL,39.0,39.0,0,UEFA,1993-09-23
39.0,Honduras,HON,38.0,37.0,-2,CONCACAF,1993-09-23
38.0,Costa Rica,CRC,38.0,38.0,-1,CONCACAF,1993-09-23
40.0,Northern Ireland,NIR,37.0,37.0,0,UEFA,1993-09-23
36.0,Korea Republic,KOR,39.0,40.0,0,AFC,1993-09-23
55.0,Paraguay,PAR,32.0,27.0,-12,CONMEBOL,1993-09-23
34.0,Tunisia,TUN,41.0,40.0,3,CAF,1993-09-23
33.0,Austria,AUT,41.0,39.0,-5,UEFA,1993-09-23
32.0,Morocco,MAR,42.0,40.0,-1,CAF,1993-09-23
41.0,Ecuador,ECU,37.0,40.0,6,CONMEBOL,1993-09-23
31.0,Côte d'Ivoire,CIV,43.0,43.0,2,CAF,1993-09-23
35.0,Greece,GRE,40.0,40.0,3,UEFA,1993-09-23
42.0,Ghana,GHA,37.0,34.0,-6,CAF,1993-09-23
54.0,Qatar,QAT,32.0,32.0,3,AFC,1993-09-23
44.0,Saudi Arabia,KSA,34.0,34.0,0,AFC,1993-09-23
45.0,China PR,CHN,34.0,34.0,0,AFC,1993-09-23
46.0,Canada,CAN,34.0,34.0,0,CONCACAF,1993-09-23
47.0,Zimbabwe,ZIM,34.0,33.0,-3,CAF,1993-09-23
48.0,Hungary,HUN,34.0,37.0,6,UEFA,1993-09-23
49.0,Iceland,ISL,34.0,32.0,-4,UEFA,1993-09-23
50.0,Finland,FIN,33.0,34.0,3,UEFA,1993-09-23
51.0,Gabon,GAB,33.0,29.0,-13,CAF,1993-09-23
52.0,Chile,CHI,33.0,34.0,3,CONMEBOL,1993-09-23
53.0,Bolivia,BOL,32.0,31.0,-6,CONMEBOL,1993-09-23
30.0,Algeria,ALG,43.0,40.0,-4,CAF,1993-09-23
43.0,Japan,JPN,35.0,35.0,0,AFC,1993-09-23
29.0,Wales,WAL,43.0,44.0,2,UEFA,1993-09-23
3.0,Norway,NOR,57.0,54.0,-6,UEFA,1993-09-23
27.0,Zambia,ZAM,44.0,45.0,2,CAF,1993-09-23
56.0,United Arab Emirates,UAE,31.0,31.0,1,AFC,1993-09-23
1.0,Brazil,BRA,59.0,54.0,-7,CONMEBOL,1993-09-23
2.0,Italy,ITA,57.0,57.0,0,UEFA,1993-09-23
4.0,Denmark,DEN,56.0,53.0,-6,UEFA,1993-09-23
5.0,England,ENG,56.0,53.0,-6,UEFA,1993-09-23
5.0,Germany,GER,56.0,58.0,4,UEFA,1993-09-23
7.0,France,FRA,56.0,52.0,-5,UEFA,1993-09-23
8.0,Russia,RUS,55.0,55.0,1,UEFA,1993-09-23
9.0,Republic of Ireland,IRL,55.0,55.0,3,UEFA,1993-09-23
10.0,Switzerland,SUI,55.0,57.0,7,UEFA,1993-09-23
11.0,Sweden,SWE,55.0,56.0,7,UEFA,1993-09-23
12.0,Argentina,ARG,55.0,56.0,7,CONMEBOL,1993-09-23
28.0,Scotland,SCO,44.0,42.0,-2,UEFA,1993-09-23
13.0,Netherlands,NED,53.0,50.0,-3,UEFA,1993-09-23
15.0,Uruguay,URU,51.0,46.0,-7,CONMEBOL,1993-09-23
16.0,Mexico,MEX,51.0,50.0,2,CONCACAF,1993-09-23
17.0,Czechoslovakia,TCH,50.0,50.0,2,UEFA,1993-09-23
18.0,Nigeria,NGA,50.0,50.0,1,CAF,1993-09-23
19.0,Colombia,COL,50.0,48.0,0,CONMEBOL,1993-09-23
20.0,Romania,ROU,48.0,47.0,-1,UEFA,1993-09-23
21.0,Portugal,POR,47.0,46.0,-2,UEFA,1993-09-23
22.0,Poland,POL,47.0,48.0,2,UEFA,1993-09-23
23.0,Cameroon,CMR,46.0,45.0,-1,CAF,1993-09-23
24.0,Belgium,BEL,45.0,48.0,6,UEFA,1993-09-23
25.0,Egypt,EGY,45.0,44.0,-1,CAF,1993-09-23
26.0,USA,USA,45.0,44.0,-2,CONCACAF,1993-09-23
14.0,Spain,ESP,53.0,51.0,1,UEFA,1993-09-23
57.0,Senegal,SEN,31.0,31.0,-1,CAF,1993-09-23
141.0,Laos,LAO,2.0,2.0,0,AFC,1993-09-23
59.0,Iraq,IRQ,30.0,31.0,2,AFC,1993-09-23
